stat_id,SecondaryCert_pcnt,MatricCert_pcnt,PostSecondaryCert_pcnt,Acadm1Cert_pcnt,Acadm2Cert_pcnt,OtherCertA_pcnt,pop_thou
261,0.09,0.306,0.181,0.202,0.063,0.157,2.6
281,0.138,0.234,0.116,0.194,0.141,0.177,8.9
311,0.203,0.245,0.152,0.118,0.045,0.237,4.4
312,0.252,0.197,0.121,0.058,0.021,0.35100000000000003,3.1
313,0.253,0.236,0.126,0.04,0.014,0.331,3.3
314,0.214,0.24,0.168,0.084,0.019,0.276,2.7
316,0.14,0.157,0.251,0.063,0.031,0.358,6.1
317,0.262,0.269,0.159,0.1,0.033,0.17600000000000002,4.5
411,0.329,0.246,0.055,0.12,0.033,0.217,2.9
461,0.28300000000000003,0.198,0.092,0.118,0.014,0.29600000000000004,3.4
471,0.141,0.221,0.136,0.223,0.103,0.17600000000000002,2.5
531,0.189,0.245,0.16,0.182,0.102,0.121,5.0
70122,0.262,0.132,0.16399999999999998,0.175,0.044,0.222,2.9
70123,0.272,0.196,0.14400000000000002,0.121,0.049,0.218,3.6
70125,0.221,0.166,0.237,0.052000000000000005,0.055,0.269,2.6
70126,0.281,0.193,0.13699999999999998,0.116,0.048,0.225,4.0
70131,0.196,0.189,0.241,0.067,0.054000000000000006,0.252,2.3
70132,0.179,0.147,0.212,0.059,0.08,0.322,2.1
70133,0.269,0.152,0.208,0.034,0.066,0.271,4.6
70141,0.521,0.075,0.177,0.06,0.016,0.151,4.7
70142,0.248,0.17800000000000002,0.184,0.045,0.023,0.322,3.1
70143,0.27,0.179,0.174,0.044,0.049,0.284,4.3
70144,0.174,0.11,0.199,0.099,0.031,0.387,6.7
70211,0.413,0.053,0.227,0.068,0.002,0.237,10.1
70212,0.32299999999999995,0.024,0.29600000000000004,0.038,0.003,0.315,7.1
70221,0.17,0.252,0.162,0.054000000000000006,0.061,0.301,2.8
70222,0.14400000000000002,0.27,0.142,0.095,0.077,0.272,3.9
70223,0.145,0.194,0.159,0.05,0.07400000000000001,0.378,3.5
70231,0.17600000000000002,0.27,0.102,0.058,0.08199999999999999,0.312,3.7
70232,0.162,0.209,0.13699999999999998,0.092,0.095,0.305,2.9
70233,0.18600000000000005,0.328,0.106,0.093,0.086,0.201,3.9
70234,0.163,0.266,0.146,0.096,0.08900000000000001,0.24,4.1
70241,0.195,0.277,0.108,0.104,0.044,0.271,5.5
70242,0.146,0.29,0.117,0.092,0.04,0.315,2.9
70243,0.139,0.263,0.17600000000000002,0.08,0.078,0.263,3.2
70244,0.16899999999999998,0.24,0.155,0.18600000000000005,0.052000000000000005,0.198,2.4
70311,0.243,0.25,0.123,0.14300000000000002,0.094,0.149,1.0
70312,0.121,0.369,0.16699999999999998,0.096,0.058,0.188,1.1
70314,0.119,0.282,0.163,0.187,0.084,0.16399999999999998,5.2
70315,0.17600000000000002,0.277,0.146,0.13,0.121,0.15,3.7
70316,0.13,0.225,0.18600000000000005,0.166,0.128,0.166,5.2
70317,0.086,0.314,0.225,0.134,0.14,0.101,4.4
70321,0.21,0.234,0.12,0.13699999999999998,0.106,0.193,4.4
70322,0.272,0.073,0.17800000000000002,0.037000000000000005,0.015,0.425,4.5
70323,0.171,0.234,0.165,0.1,0.073,0.256,4.5
70331,0.087,0.182,0.31,0.228,0.131,0.063,3.2
70332,0.028,0.3,0.17600000000000002,0.18,0.154,0.162,2.0
70333,0.13699999999999998,0.326,0.16,0.109,0.07200000000000001,0.196,5.1
70342,0.183,0.21600000000000005,0.196,0.115,0.146,0.14400000000000002,4.8
70343,0.091,0.272,0.32,0.129,0.07400000000000001,0.115,3.4
70411,0.139,0.226,0.238,0.145,0.105,0.146,4.8
70412,0.07,0.274,0.215,0.213,0.123,0.105,3.7
70413,0.158,0.245,0.235,0.162,0.095,0.105,2.7
70421,0.255,0.232,0.154,0.141,0.102,0.116,7.0
70422,0.189,0.267,0.146,0.177,0.094,0.126,7.7
70423,0.205,0.29,0.14300000000000002,0.147,0.063,0.153,4.7
70424,0.17800000000000002,0.249,0.149,0.123,0.112,0.188,2.8
