stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
261,0.015,0.985,0.0,0.0,0.0,0.0,2.6
281,0.009000000000000001,0.991,0.0,0.0,0.0,0.0,8.9
311,0.015,0.985,0.0,0.0,0.0,0.0,4.4
312,0.01,0.99,0.0,0.0,0.0,0.0,3.1
313,0.02,0.98,0.0,0.0,0.0,0.0,3.3
314,0.13699999999999998,0.863,0.0,0.0,0.0,0.0,2.7
316,0.448,0.552,0.0,0.0,0.0,0.0,6.1
317,0.037000000000000005,0.963,0.0,0.0,0.0,0.0,4.5
411,0.012,0.988,0.0,0.0,0.0,0.0,2.9
461,0.157,0.843,0.0,0.0,0.0,0.0,3.4
531,0.002,0.998,0.0,0.0,0.0,0.0,5.0
70123,0.006999999999999999,0.993,0.0,0.0,0.0,0.0,3.6
70125,0.023,0.977,0.0,0.0,0.0,0.0,2.6
70126,0.013,0.987,0.0,0.0,0.0,0.0,4.0
70131,0.05,0.95,0.0,0.0,0.0,0.0,2.3
70132,0.013,0.987,0.0,0.0,0.0,0.0,2.1
70133,0.016,0.984,0.0,0.0,0.0,0.0,4.6
70141,0.774,0.22599999999999998,0.0,0.0,0.0,0.0,4.7
70142,0.263,0.737,0.0,0.0,0.0,0.0,3.1
70143,0.35700000000000004,0.643,0.0,0.0,0.0,0.0,4.3
70144,0.254,0.746,0.0,0.0,0.0,0.0,6.7
70211,0.701,0.29900000000000004,0.0,0.0,0.0,0.0,10.1
70212,0.8959999999999999,0.10400000000000009,0.0,0.0,0.0,0.0,7.1
70221,0.136,0.864,0.0,0.0,0.0,0.0,2.8
70223,0.087,0.913,0.0,0.0,0.0,0.0,3.5
70231,0.023,0.977,0.0,0.0,0.0,0.0,3.7
70232,0.01,0.99,0.0,0.0,0.0,0.0,2.9
70234,0.019,0.981,0.0,0.0,0.0,0.0,4.1
70241,0.009000000000000001,0.991,0.0,0.0,0.0,0.0,5.5
70243,0.006,0.994,0.0,0.0,0.0,0.0,3.2
70244,0.009000000000000001,0.991,0.0,0.0,0.0,0.0,2.4
70311,0.029,0.971,0.0,0.0,0.0,0.0,1.0
70312,0.009000000000000001,0.991,0.0,0.0,0.0,0.0,1.1
70314,0.012,0.988,0.0,0.0,0.0,0.0,5.2
70315,0.005,0.995,0.0,0.0,0.0,0.0,3.7
70316,0.015,0.985,0.0,0.0,0.0,0.0,5.2
70317,0.006,0.994,0.0,0.0,0.0,0.0,4.4
70322,0.519,0.481,0.0,0.0,0.0,0.0,4.5
70323,0.053,0.947,0.0,0.0,0.0,0.0,4.5
70332,0.01,0.99,0.0,0.0,0.0,0.0,2.0
70333,0.099,0.901,0.0,0.0,0.0,0.0,5.1
70342,0.004,0.996,0.0,0.0,0.0,0.0,4.8
70412,0.005,0.995,0.0,0.0,0.0,0.0,3.7
70421,0.008,0.992,0.0,0.0,0.0,0.0,7.0
70422,0.016,0.984,0.0,0.0,0.0,0.0,7.7
70423,0.008,0.992,0.0,0.0,0.0,0.0,4.7
70424,0.006999999999999999,0.993,0.0,0.0,0.0,0.0,2.8
70426,0.017,0.983,0.0,0.0,0.0,0.0,3.4
70432,0.006,0.994,0.0,0.0,0.0,0.0,4.6
70433,0.003,0.997,0.0,0.0,0.0,0.0,5.8
951,0.0,0.0,0.0,0.0,0.0,1.0,1.2
991,0.053,0.947,0.0,0.0,0.0,0.0,4.8
1661,0.019,0.981,0.0,0.0,0.0,0.0,4.6
1663,0.014,0.986,0.0,0.0,0.0,0.0,5.3
1681,0.014,0.986,0.0,0.0,0.0,0.0,6.2
1683,0.004,0.996,0.0,0.0,0.0,0.0,6.6
1711,0.006,0.994,0.0,0.0,0.0,0.0,5.5
