stat_id,eshcol,pop_thou
71,,0.7
101,,
111,,
131,,
151,,
161,,
181,,0.6
211,,
221,,
231,,
241,,0.6
261,13.0,2.6
271,,
281,14.0,8.9
291,14.0,1.4
311,6.0,4.4
312,6.0,3.1
313,7.0,3.3
314,7.0,2.7
315,,
316,3.0,6.1
317,7.0,4.5
321,,0.5
331,,
351,,
361,,
371,,
391,,
411,11.0,2.9
431,13.0,1.5
441,,
461,7.0,3.4
471,15.0,2.5
481,,1.0
491,,
521,,
531,,5.0
551,,
571,,0.6
581,,
591,,
621,,0.5
631,,0.6
641,,0.9
651,10.0,1.4
661,,0.8
671,,
691,,
70111,,
70112,,
70113,,
70121,,
70122,9.0,2.9
70123,9.0,3.6
70124,,
70125,6.0,2.6
70126,8.0,4.0
70131,7.0,2.3
70132,6.0,2.1
70133,5.0,4.6
70141,2.0,4.7
70142,4.0,3.1
70143,4.0,4.3
70144,4.0,6.7
70145,,
70211,3.0,10.1
70212,2.0,7.1
70221,6.0,2.8
70222,7.0,3.9
70223,6.0,3.5
70231,11.0,3.7
70232,9.0,2.9
70233,10.0,3.9
70234,10.0,4.1
70241,10.0,5.5
70242,6.0,2.9
70243,12.0,3.2
70244,13.0,2.4
70311,12.0,1.0
70312,12.0,1.1
70313,,
70314,11.0,5.2
70315,11.0,3.7
70316,12.0,5.2
70317,11.0,4.4
70321,8.0,4.4
70322,2.0,4.5
70323,6.0,4.5
70331,10.0,3.2
70332,10.0,2.0
70333,11.0,5.1
70341,,
70342,11.0,4.8
70343,10.0,3.4
70411,9.0,4.8
70412,11.0,3.7
70413,10.0,2.7
70414,,
70415,9.0,
70421,12.0,7.0
70422,12.0,7.7
70423,12.0,4.7
70424,11.0,2.8
70425,10.0,5.4
70426,13.0,3.4
70431,,
70432,14.0,4.6
70433,13.0,5.8
70434,13.0,2.4
711,,
721,,0.8
741,,
761,,0.7
771,,1.4
781,,
791,,
801,,0.8
821,,0.7
841,,
851,,0.8
861,,0.6
881,,
891,,0.5
901,,
921,,
941,,
951,,1.2
961,,1.4
971,,0.7
981,,
991,8.0,4.8
1021,,
1031,,1.1
1041,,0.6
1061,,
1071,,
1121,,
1131,,
1151,,0.7
1221,14.0,6.2
1261,,0.6
1271,,
1281,,
1301,,1.1
1321,,
1331,,0.7
1341,,0.8
1351,,
1391,,0.5
1401,,0.9
1411,,
1421,,1.1
1431,,0.6
1441,,
1451,,
1461,,
1471,,1.7
1541,17.0,10.0
1551,,0.8
1561,,
1571,,1.1
1581,,1.3
1591,,0.5
1601,,
1621,,1.2
1631,,0.8
1641,,
1651,,0.5
1661,12.0,4.6
1662,13.0,7.5
1663,10.0,5.3
1671,,0.7
1681,12.0,6.2
1682,14.0,3.6
